sort-key	name	mech-tons	engine-default	left arm	left torso	center	right torso	right arm	head	jj	ecm	masc	engines	hardpoints	torso/arm	costs	mechfilter-faction	mechfilter-variant	mechfilter-family	mechfilter-type	default-engine	engine-speedtweak	engine-min	engine-max
clan.kitfox.purifier hero	purifier hero	30	xl 180	1 b	2 e		2 e	1 b					xl 180	4 2 0	120 / 40 20 / 30	n/a	clan	476	kitfox	hero	180	0	180	180
clan.piranha.cipher hero	cipher hero	20	xl 180	1 e	1 ams 3 b 3 e	1 e	3 b 3 e	1 e					100 - 180 xl 180	9 6 0	100 / 30 20 / 30	n/a	clan	661	piranha	hero	180	0	100	180
clan.piranha.pir-1	pir-1	20	xl 180	1 e	1 ams 6 b	1 e	6 b	1 e					100 - 180 xl 180	3 12 0	100 / 30 20 / 30	n/a	clan	656	piranha	normal	180	0	100	180
clan.piranha.pir-2	pir-2	20	xl 180	1 e	1 ams 6 e	1 e	6 e	1 e					100 - 180 xl 180	15 0 0	100 / 30 20 / 30	n/a	clan	657	piranha	normal	180	0	100	180
clan.piranha.pir-3	pir-3	20	xl 180	2 e	1 ams 5 e		5 e	2 e					100 - 180 xl 180	14 0 0	110 / 30 20 / 30	n/a	clan	658	piranha	normal	180	0	100	180
clan.piranha.pir-a	pir-a	20	xl 180	1 e	2 ams 4 b	1 e	2 ams 4 b	1 e					100 - 180 xl 180	3 8 0	120 / 30 25 / 30	n/a	clan	659	piranha	normal	180	0	100	180
clan.piranha.pir-b	pir-b	20	xl 180	2 e	1 ams 2 b	2 e	2 b	2 e					100 - 180 xl 180	6 4 0	120 / 30 25 / 30	n/a	clan	660	piranha	normal	180	0	100	180
clan.hunchbackiic.deathwish hero	deathwish hero	50	xl 200	2 e	1 ams 1 e		1 b	2 e					100 - 275 xl 200	5 1 0	115 / 40 25 / 35	n/a	clan	605	hunchbackiic	hero	200	0	100	275
clan.hunchbackiic.hbk-iic	hbk-iic	50	xl 200		1 ams 2 b	2 e	2 b			4			100 - 275 xl 200	2 4 0	95 / 40 25 / 35	3,005 7,511,790	clan	367	hunchbackiic	normal	200	0	100	275
clan.hunchbackiic.hbk-iic-a	hbk-iic-a	50	xl 200		1 ams 3 e	2 e	3 e			4			100 - 275 xl 200	8 0 0	80 / 40 20 / 35	2,780 6,947,852	clan	368	hunchbackiic	normal	200	0	100	275
clan.hunchbackiic.hbk-iic-b	hbk-iic-b	50	xl 200		1 ams 2 m (20x2)	2 e	2 m (20x2)			4			100 - 275 xl 200	2 0 4	115 / 40 25 / 35	2,730 6,823,852	clan	369	hunchbackiic	normal	200	0	100	275
clan.hunchbackiic.hbk-iic-c	hbk-iic-c	50	xl 200	1 e	1 ams 1 b	2 e	1 b	1 e		4			100 - 275 xl 200	4 2 0	115 / 40 25 / 35	2,880 7,199,820	clan	370	hunchbackiic	normal	200	0	100	275
clan.adder.adr-a	adr-a	35	xl 210	1 m (20)	1 e	1 e	1 e	1 m (20)					xl 210	3 0 2	120 / 40 20 / 30	2,775 6,937,211	clan	168	adder	normal	210	0	210	210
clan.adder.adr-b	adr-b	35	xl 210	1 b	1 e	1 e	1 e	1 e					xl 210	4 1 0	120 / 40 20 / 30	2,780 6,938,004	clan	260	adder	normal	210	0	210	210
clan.adder.adr-d	adr-d	35	xl 210	1 e	1 m (20)	1 e	1 m (20)	1 b					xl 210	2 1 2	120 / 40 20 / 30	2,695 6,729,971	clan	169	adder	normal	210	0	210	210
clan.adder.adr-prime	adr-prime	35	xl 210	1 e		1 e	1 ams	1 e					xl 210	3 0 0	120 / 40 20 / 30	2,810 7,024,974	clan	167	adder	normal	210	0	210	210
clan.adder.adr-prime(c) champion	adr-prime(c) champion	35	xl 210	1 e	1 e	1 e	1 e	1 e					xl 210	5 0 0	120 / 40 20 / 30	n/a	clan	530	adder	champion	210	0	210	210
clan.adder.cinder hero	cinder hero	35	xl 210	1 e	1 b	1 e	1 b	1 e					xl 210	3 2 0	120 / 40 20 / 30	n/a	clan	477	adder	hero	210	0	210	210
clan.arcticcheetah.ach-a	ach-a	30	xl 240	1 e 1 m (10)			1 ams	1 e 1 m (10)		6			xl 240	2 0 2	110 / 30 30 / 30	2,785 6,957,336	clan	292	arcticcheetah	normal	240	0	240	240
clan.arcticcheetah.ach-b	ach-b	30	xl 240	2 e				1 b 1 e		6			xl 240	3 1 0	110 / 30 30 / 30	2,770 6,920,636	clan	293	arcticcheetah	normal	240	0	240	240
clan.arcticcheetah.ach-c	ach-c	30	xl 240	2 e	2 e		1 e	2 e		6			xl 240	7 0 0	110 / 30 30 / 30	3,050 7,617,336	clan	294	arcticcheetah	normal	240	0	240	240
clan.arcticcheetah.ach-e	ach-e	30	xl 240	3 b	2 e		1 e	3 b		6			xl 240	3 6 0	110 / 30 30 / 30	n/a	clan	596	arcticcheetah	normal	240	0	240	240
clan.arcticcheetah.ach-prime	ach-prime	30	xl 240	1 e 1 m (10)	1 ecm 1 e		1 e	1 e 1 m (10)		6			xl 240	4 0 2	110 / 30 30 / 30	3,095 7,737,456	clan	291	arcticcheetah	normal	240	0	240	240
clan.arcticcheetah.ach-prime(c) champion	ach-prime(c) champion	30	xl 240	2 e	1 ecm 1 e		1 e	2 e		6			xl 240	6 0 0	110 / 30 30 / 30	3,870	clan	351	arcticcheetah	champion	240	0	240	240
clan.arcticcheetah.shard hero	shard hero	30	xl 240	2 e	1 m (12)		2 b	2 e		6			xl 240	4 2 1	110 / 30 30 / 30	n/a	clan	587	arcticcheetah	hero	240	0	240	240
clan.arcticwolf.acw-a	acw-a	40	xl 240	1 e 1 m (10)	1 ams 1 m (10)		1 ecm 1 m (10)	1 e 1 m (10)					xl 240	2 0 4	130 / 30 25 / 30	n/a	clan	624	arcticwolf	normal	240	0	240	240
clan.arcticwolf.acw-p	acw-p	40	xl 240	2 e	2 m (10x2)		2 e	2 e					xl 240	6 0 2	130 / 30 25 / 30	n/a	clan	625	arcticwolf	normal	240	0	240	240
clan.arcticwolf.acw-prime	acw-prime	40	xl 240	1 m (10)	1 m (10)		1 m (10)	1 m (10)					xl 240	0 0 4	130 / 30 25 / 30	n/a	clan	623	arcticwolf	normal	240	0	240	240
clan.hellfire.hlf-a	hlf-a	60	xl 240	2 e	2 m (20x2)		1 ams 1 b 2 m (20x2)	2 e					120 - 290 xl 240	4 1 4	85 / 20 20 / 30	n/a	clan	721	hellfire	normal	240	0	120	290
clan.huntsman.hmn-a	hmn-a	50	xl 250	1 e 1 m (10)				1 b 1 e		5			xl 250	2 1 1	95 / 35 20 / 20	3,780 9,445,923	clan	458	huntsman	normal	250	0	250	250
clan.huntsman.hmn-b	hmn-b	50	xl 250	1 b			2 b	3 e		5			xl 250	3 3 0	95 / 35 20 / 20	3,960 9,890,523	clan	459	huntsman	normal	250	0	250	250
clan.huntsman.hmn-c	hmn-c	50	xl 250	1 b	2 e 1 m (10)		1 e 1 m (10)	1 m (10)		5			xl 250	3 1 3	95 / 35 20 / 20	3,980 9,939,183	clan	460	huntsman	normal	250	0	250	250
clan.huntsman.hmn-p	hmn-p	50	xl 250	2 m (10x2)	1 b		2 e	2 m (10x2)		5			xl 250	2 1 4	95 / 35 20 / 20	3,950 9,867,123	clan	461	huntsman	normal	250	0	250	250
clan.huntsman.hmn-prime	hmn-prime	50	xl 250	2 e 1 m (10)	1 ams 2 e		1 m (10)	1 b 2 e		5			xl 250	6 1 2	95 / 35 20 / 20	4,185 10,452,733	clan	457	huntsman	normal	250	0	250	250
clan.huntsman.pakhet hero	pakhet hero	50	xl 250	1 e	2 m (10x2)		1 ams 2 m (10x2)	2 e		5			xl 250	3 0 4	95 / 35 20 / 20	4,690	clan	462	huntsman	hero	250	0	250	250
clan.nova.breaker hero	breaker hero	50	xl 250	2 m (20x2)	2 e		2 b	3 e		5			xl 250	5 2 2	100 / 35 20 / 30	n/a	clan	478	nova	hero	250	0	250	250
clan.nova.nva-a	nva-a	50	xl 250	1 e	1 ams 1 e		1 ams	1 e		5			xl 250	3 0 0	100 / 35 20 / 30	3,890 9,722,437	clan	267	nova	normal	250	0	250	250
clan.nova.nva-b	nva-b	50	xl 250	1 e	2 b		1 e	1 b		5			xl 250	2 3 0	100 / 35 20 / 30	3,525 8,803,938	clan	180	nova	normal	250	0	250	250
clan.nova.nva-c	nva-c	50	xl 250	1 b	1 m (20)		1 e			5			xl 250	1 1 1	100 / 35 20 / 30	3,520 8,799,437	clan	307	nova	normal	250	0	250	250
clan.nova.nva-d	nva-d	50	xl 250	1 b				1 m (20)		5			xl 250	0 1 1	100 / 35 20 / 30	3,640 9,090,617	clan	431	nova	normal	250	0	250	250
clan.nova.nva-d(l) special	nva-d(l) special	50	xl 250	1 b				1 m (20)		5			xl 250	0 1 1	100 / 35 20 / 30	n/a	clan	342	nova	special	250	0	250	250
clan.nova.nva-prime	nva-prime	50	xl 250	6 e				6 e		5			xl 250	12 0 0	100 / 35 20 / 30	3,990 9,968,438	clan	179	nova	normal	250	0	250	250
clan.nova.nva-s	nva-s	50	xl 250	3 e	2 b	1 ams	2 b	3 e		5			xl 250	6 4 0	100 / 35 20 / 30	3,750 9,363,437	clan	181	nova	normal	250	0	250	250
clan.nova.nva-s(c) champion	nva-s(c) champion	50	xl 250	3 e	1 ams 1 e	1 ams	1 ams	3 e		5			xl 250	7 0 0	100 / 35 20 / 30	n/a	clan	531	nova	champion	250	0	250	250
clan.hunchbackiic.hbk-iic(c) champion	hbk-iic(c) champion	50	xl 255		1 ams 2 b	2 e	2 b			4			100 - 275 xl 255	2 4 0	95 / 40 25 / 35	3,760	clan	453	hunchbackiic	champion	255	0	100	275
clan.marauderiic.mad-iic-d	mad-iic-d	85	xl 255	1 b 1 m (20)	1 ams	1 ecm	1 e	1 b 1 m (20)	1 e				170 - 340 xl 255	2 2 2	70 / 20 20 / 30	n/a	clan	498	marauderiic	normal	255	0	170	340
clan.riflemaniic.rfl-iic-a	rfl-iic-a	65	xl 260	1 b 1 e	1 e	1 ams	1 e	1 b 1 e					130 - 315 xl 260	4 2 0	100 / 0 20 / 50	n/a	clan	802	riflemaniic	normal	260	0	130	315
clan.highlanderiic.hgn-iic-c	hgn-iic-c	90	xl 270	1 m (20)	1 ams 3 e		1 m (20)	2 b		3			180 - 325 xl 270	3 2 2	85 / 20 20 / 30	5,065 12,656,076	clan	380	highlanderiic	normal	270	0	180	325
clan.highlanderiic.keeper hero	keeper hero	90	xl 270	1 e 2 m (20x2)	1 ams 1 b		2 m (20x2)	1 b		3			180 - 325 xl 270	1 2 4	85 / 20 20 / 30	n/a	clan	607	highlanderiic	hero	270	0	180	325
clan.incubus.inc-1	inc-1	30	xl 270		2 b 1 e	1 ams	2 b 1 e	2 e					100 - 285 xl 270	4 4 0	110 / 30 30 / 30	n/a	clan	733	incubus	normal	270	0	100	285
clan.incubus.inc-2	inc-2	30	xl 270		3 b 1 e	1 ams	2 b 1 e	1 e					100 - 285 xl 270	3 5 0	110 / 30 30 / 30	n/a	clan	734	incubus	normal	270	0	100	285
clan.incubus.inc-3	inc-3	30	xl 270		2 b 1 e	1 ams	2 b 1 e	2 m (20x2)					100 - 285 xl 270	2 4 2	110 / 30 30 / 30	n/a	clan	735	incubus	normal	270	0	100	285
clan.incubus.inc-4	inc-4	30	xl 270		3 e	1 ams	3 e	1 e					100 - 285 xl 270	7 0 0	110 / 30 30 / 30	n/a	clan	736	incubus	normal	270	0	100	285
clan.incubus.inc-5	inc-5	30	xl 270		2 b 2 e	1 ams	2 b 1 e	1 m (20)					100 - 285 xl 270	3 4 1	110 / 30 30 / 30	n/a	clan	737	incubus	normal	270	0	100	285
clan.incubus.sabre hero	sabre hero	30	xl 270		1 ams 1 b 1 e	1 m (15)	2 b 1 e	2 m (20x2)					100 - 285 xl 270	2 3 3	110 / 30 30 / 30	n/a	clan	738	incubus	hero	270	0	100	285
clan.shadowcat.mishipeshu hero	mishipeshu hero	45	xl 270	1 e			1 m (20)	1 b 1 e		6			xl 270	2 1 1	135 / 20 20 / 40	n/a	clan	589	shadowcat	hero	270	0	270	270
clan.shadowcat.shc-a	shc-a	45	xl 270	1 e			1 m (20)	1 e		6			xl 270	2 0 1	135 / 20 20 / 40	3,940 9,838,177	clan	297	shadowcat	normal	270	0	270	270
clan.shadowcat.shc-b	shc-b	45	xl 270	1 e 1 m (20)	1 ecm			1 e 1 m (20)		6			xl 270	2 0 2	135 / 20 20 / 40	4,210 10,514,657	clan	298	shadowcat	normal	270	0	270	270
clan.shadowcat.shc-h	shc-h	45	xl 270		1 m (20)			1 e		6			xl 270	1 0 1	135 / 20 20 / 40	n/a	clan	598	shadowcat	normal	270	0	270	270
clan.shadowcat.shc-p	shc-p	45	xl 270	3 b	3 b			1 b		6			xl 270	0 7 0	135 / 20 20 / 40	3,585 8,957,177	clan	299	shadowcat	normal	270	0	270	270
clan.shadowcat.shc-prime	shc-prime	45	xl 270	1 e	1 ams		1 e	1 b		6			xl 270	2 1 0	135 / 20 20 / 40	3,850 9,614,177	clan	296	shadowcat	normal	270	0	270	270
clan.shadowcat.shc-prime(c) champion	shc-prime(c) champion	45	xl 270	1 e	1 ecm		1 e	1 e		6			xl 270	3 0 0	135 / 20 20 / 40	4,815	clan	402	shadowcat	champion	270	0	270	270
clan.arcticwolf.acw-1	acw-1	40	xl 280	2 m (10x2)	1 ams 2 m (10x2)	1 m (10)	2 m (10x2)	2 m (10x2)					100 - 365 xl 280	0 0 9	130 / 30 25 / 30	n/a	clan	626	arcticwolf	normal	280	0	100	365
clan.arcticwolf.acw-2	acw-2	40	xl 280	1 m (10)	1 ams 2 e	2 m (10x2)	2 m (10x2)	1 m (10)					100 - 365 xl 280	2 0 6	130 / 30 25 / 30	n/a	clan	627	arcticwolf	normal	280	0	100	365
clan.arcticwolf.blood kit hero	blood kit hero	40	xl 280	2 e	1 ams 1 b	1 m (10)	1 b	2 e		4			100 - 365 xl 280	4 2 1	130 / 30 25 / 30	n/a	clan	628	arcticwolf	hero	280	0	100	365
clan.jenneriic.fury hero	fury hero	35	xl 280	3 b	1 ams	2 e	1 ams	3 b		7			100 - 315 xl 280	2 6 0	100 / 0 20 / 30	n/a	clan	604	jenneriic	hero	280	0	100	315
clan.novacat.cobra cat hero	cobra cat hero	70	xl 280	1 e 2 m (20, 15)	1 e		1 e	1 e 2 m (20, 15)					xl 280	4 0 4	100 / 20 25 / 25	n/a	clan	635	novacat	hero	280	0	280	280
clan.novacat.nct-a	nct-a	70	xl 280	2 e				2 e					xl 280	4 0 0	100 / 20 25 / 25	n/a	clan	631	novacat	normal	280	0	280	280
clan.novacat.nct-b	nct-b	70	xl 280	3 m (20x2, 15)	1 e		1 e	3 m (20x2, 15)					xl 280	2 0 6	100 / 20 25 / 25	n/a	clan	632	novacat	normal	280	0	280	280
clan.novacat.nct-c	nct-c	70	xl 280	2 e				3 b					xl 280	2 3 0	100 / 20 25 / 25	n/a	clan	633	novacat	normal	280	0	280	280
clan.novacat.nct-d	nct-d	70	xl 280	1 b 1 e				2 e					xl 280	3 1 0	100 / 20 25 / 25	n/a	clan	634	novacat	normal	280	0	280	280
clan.novacat.nct-prime	nct-prime	70	xl 280	3 e			1 ams	2 e					xl 280	5 0 0	100 / 20 25 / 25	n/a	clan	630	novacat	normal	280	0	280	280
clan.jenneriic.jr7-iic(c) champion	jr7-iic(c) champion	35	xl 295	2 m (12x2)	1 ams	2 m (15, 10)		2 m (12x2)		7			100 - 315 xl 295	0 0 6	100 / 0 20 / 30	3,465	clan	452	jenneriic	champion	295	0	100	315
clan.direwolf.dwf-a	dwf-a	100	xl 300	1 b	2 m (20x2)		1 ams	3 e					xl 300	3 1 2	60 / 30 20 / 30	6,860 17,149,906	clan	172	direwolf	normal	300	0	300	300
clan.direwolf.dwf-b	dwf-b	100	xl 300	4 e	2 b	1 e	2 b	1 b					xl 300	5 5 0	60 / 30 20 / 30	7,140 17,838,493	clan	173	direwolf	normal	300	0	300	300
clan.direwolf.dwf-prime	dwf-prime	100	xl 300	1 b 4 e	1 m (20)			1 b 4 e					xl 300	8 2 1	60 / 30 20 / 30	7,115 17,785,963	clan	171	direwolf	normal	300	0	300	300
clan.direwolf.dwf-s	dwf-s	100	xl 300	1 e	1 b 2 e 1 m (20)	1 m (15)	1 b 2 e	1 b	1 e				xl 300	6 3 2	60 / 30 20 / 30	6,950 17,367,846	clan	261	direwolf	normal	300	0	300	300
clan.direwolf.dwf-w	dwf-w	100	xl 300	1 b	1 m (20)	2 e	1 b	1 e	1 e				xl 300	4 2 1	60 / 30 20 / 30	7,015 17,536,496	clan	303	direwolf	normal	300	0	300	300
clan.direwolf.dwf-w(c) champion	dwf-w(c) champion	100	xl 300	1 b 4 e	1 m (20)	2 e		1 b	1 e				xl 300	7 2 1	60 / 30 20 / 30	8,770	clan	355	direwolf	champion	300	0	300	300
clan.direwolf.ultraviolet hero	ultraviolet hero	100	xl 300	2 b	2 e	1 m (15)	2 e	2 b					xl 300	4 4 1	60 / 30 20 / 30	n/a	clan	483	direwolf	hero	300	0	300	300
clan.hellfire.hlf-2	hlf-2	60	xl 300	3 e	1 e 1 m (20)		1 ams 1 m (20)	2 e					120 - 360 xl 300	6 0 2	85 / 20 20 / 30	n/a	clan	720	hellfire	normal	300	0	120	360
clan.hellfire.hlf-b	hlf-b	60	xl 300	2 e	1 e 1 m (20)		1 ams 2 m (20x2)	2 e					120 - 360 xl 300	5 0 3	85 / 20 20 / 30	n/a	clan	722	hellfire	normal	300	0	120	360
clan.hellfire.hlf-c	hlf-c	60	xl 300	2 e	2 m (20x2)		1 ams 2 m (20x2)	2 e					120 - 360 xl 300	4 0 4	85 / 20 20 / 30	n/a	clan	723	hellfire	normal	300	0	120	360
clan.hellfire.void hero	void hero	60	xl 300	1 b	2 e		1 ams 1 b 1 m (20)	3 e					120 - 360 xl 300	5 2 1	85 / 20 20 / 30	n/a	clan	724	hellfire	hero	300	0	120	360
clan.maddog.bandit hero	bandit hero	60	xl 300	2 e	1 b		1 b	2 e					xl 300	4 2 0	95 / 30 20 / 30	n/a	clan	590	maddog	hero	300	0	300	300
clan.maddog.mdd-a	mdd-a	60	xl 300	1 b	3 m (20, 10x2)		3 m (20, 10x2)	1 e					xl 300	1 1 6	95 / 30 20 / 30	4,755 11,886,819	clan	213	maddog	normal	300	0	300	300
clan.maddog.mdd-b	mdd-b	60	xl 300	2 e	1 m (20)		2 m (20, 10)	3 e					xl 300	5 0 3	95 / 30 20 / 30	4,820 12,042,879	clan	214	maddog	normal	300	0	300	300
clan.maddog.mdd-c	mdd-c	60	xl 300	1 b				1 b					xl 300	0 2 0	95 / 30 20 / 30	4,390 10,968,755	clan	265	maddog	normal	300	0	300	300
clan.maddog.mdd-c(c) champion	mdd-c(c) champion	60	xl 300	1 b				1 b					xl 300	0 2 0	95 / 30 20 / 30	n/a	clan	703	maddog	champion	300	0	300	300
clan.maddog.mdd-h	mdd-h	60	xl 300	3 e	1 m (20)		1 m (20)	1 e					xl 300	4 0 2	95 / 30 20 / 30	n/a	clan	599	maddog	normal	300	0	300	300
clan.maddog.mdd-prime	mdd-prime	60	xl 300	2 e	1 ams 1 m (20)		1 m (20)	2 e					xl 300	4 0 2	95 / 30 20 / 30	4,680 11,688,879	clan	212	maddog	normal	300	0	300	300
clan.maddog.revenant hero	revenant hero	60	xl 300	1 e	2 m (20, 10)	2 e	2 m (20, 10)	1 e					xl 300	4 0 4	95 / 30 20 / 30	n/a	clan	696	maddog	hero	300	0	300	300
clan.nightgyr.jade kite hero	jade kite hero	75	xl 300	2 b	2 b		2 m (20, 15)	2 e		4			xl 300	2 4 2	70 / 20 15 / 30	7,035	clan	447	nightgyr	hero	300	0	300	300
clan.nightgyr.ntg-a	ntg-a	75	xl 300	3 e	1 m (20)		1 m (20)	1 b	1 e	4			xl 300	4 1 2	70 / 20 15 / 30	5,660 14,144,563	clan	443	nightgyr	normal	300	0	300	300
clan.nightgyr.ntg-b	ntg-b	75	xl 300	1 b	1 b		1 b	1 b	1 ams	4			xl 300	0 4 0	70 / 20 15 / 30	5,480 13,695,908	clan	444	nightgyr	normal	300	0	300	300
clan.nightgyr.ntg-c	ntg-c	75	xl 300	3 b	1 e			2 e	1 e	4			xl 300	4 3 0	70 / 20 15 / 30	5,540 13,846,708	clan	445	nightgyr	normal	300	0	300	300
clan.nightgyr.ntg-d	ntg-d	75	xl 300	1 m (20)	1 m (20)	1 e	1 m (20)	1 m (20)	1 e	4			xl 300	2 0 4	65 / 20 15 / 30	6,030 15,063,328	clan	446	nightgyr	normal	300	0	300	300
clan.nightgyr.ntg-h	ntg-h	75	xl 300	1 b	1 e		1 ecm	1 b	1 e	4			xl 300	2 2 0	70 / 20 15 / 30	n/a	clan	779	nightgyr	normal	300	0	300	300
clan.nightgyr.ntg-prime	ntg-prime	75	xl 300	2 e	1 e		1 e	1 b	1 e	4			xl 300	5 1 0	70 / 20 15 / 30	5,665 14,152,608	clan	442	nightgyr	normal	300	0	300	300
clan.orioniic.on1-iic-b	on1-iic-b	75	xl 300	2 e 1 m (20)	1 ams 1 m (20)		1 b	2 e					150 - 360 xl 300	4 1 2	85 / 20 20 / 30	4,510 11,265,639	clan	374	orioniic	normal	300	0	150	360
clan.orioniic.on1-iic-c	on1-iic-c	75	xl 300	1 e 1 m (20)	1 ams 2 m (20x2)		2 b	1 e					150 - 360 xl 300	2 2 3	85 / 20 20 / 30	4,515 11,286,759	clan	375	orioniic	normal	300	0	150	360
clan.jenneriic.jr7-iic	jr7-iic	35	xl 315	2 m (12x2)	1 ams	2 m (15, 10)		2 m (12x2)		7			100 - 315 xl 315	0 0 6	100 / 0 20 / 30	2,770 6,916,093	clan	362	jenneriic	normal	315	0	100	315
clan.jenneriic.jr7-iic-2	jr7-iic-2	35	xl 315	2 e	1 ams	1 m (15)		2 e		10			100 - 315 xl 315	4 0 1	100 / 0 20 / 30	2,770 6,918,153	clan	363	jenneriic	normal	315	0	100	315
clan.jenneriic.jr7-iic-3	jr7-iic-3	35	xl 315	2 e	1 ams	2 m (15, 10)		2 e		7			100 - 315 xl 315	4 0 2	100 / 0 20 / 30	2,665 6,660,093	clan	364	jenneriic	normal	315	0	100	315
clan.jenneriic.jr7-iic-a	jr7-iic-a	35	xl 315	3 e	1 ams			3 e		7			100 - 315 xl 315	6 0 0	100 / 0 20 / 30	2,610 6,524,093	clan	365	jenneriic	normal	315	0	100	315
clan.viper.medusa hero	medusa hero	40	xl 320	3 e	1 m (15)	1 ams		3 e		8			xl 320	6 0 1	130 / 30 20 / 30	3,750	clan	427	viper	hero	320	0	320	320
clan.viper.vpr-a	vpr-a	40	xl 320	1 m (10)	2 e		2 e	1 e		8			xl 320	5 0 1	130 / 30 20 / 30	4,020 10,046,887	clan	423	viper	normal	320	0	320	320
clan.viper.vpr-b	vpr-b	40	xl 320	1 e	1 e		1 e	1 e		8			xl 320	4 0 0	130 / 30 20 / 30	3,845 9,611,887	clan	424	viper	normal	320	0	320	320
clan.viper.vpr-c	vpr-c	40	xl 320	2 e	2 b	1 e	2 b	2 e		8			xl 320	5 4 0	130 / 30 20 / 30	3,900 9,743,887	clan	425	viper	normal	320	0	320	320
clan.viper.vpr-d	vpr-d	40	xl 320	1 m (10)	1 e		1 m (15)	2 e		8			xl 320	3 0 2	130 / 30 20 / 30	3,865 9,659,447	clan	426	viper	normal	320	0	320	320
clan.viper.vpr-prime	vpr-prime	40	xl 320	1 m (10)	1 ams		2 b	2 e		8			xl 320	2 2 1	130 / 30 20 / 30	3,820 9,542,887	clan	422	viper	normal	320	0	320	320
