sort-key	name	mech-tons	engine-default	left arm	left torso	center	right torso	right arm	head	jj	ecm	masc	engines	hardpoints	torso/arm	costs	mechfilter-faction	mechfilter-variant	mechfilter-family	mechfilter-type	default-engine	engine-speedtweak	engine-min	engine-max
clan.kitfox.kfx-c	kfx-c	30	xl 180	2 b 2 e				1 ecm 3 ams 1 e					xl 180	3 2 0	120 / 40 20 / 30	2,725 6,810,335	clan	264	kitfox	normal	180	0	180	180
clan.kitfox.kfx-g	kfx-g	30	xl 180	1 ecm	1 m (15)		1 m (20)	2 e					xl 180	2 0 2	120 / 40 20 / 30	n/a	clan	672	kitfox	normal	180	0	180	180
clan.kitfox.kfx-g(l) special	kfx-g(l) special	30	xl 180	1 ecm	1 m (15)		1 m (20)	2 e					xl 180	2 0 2	120 / 40 20 / 30	n/a	clan	646	kitfox	special	180	0	180	180
clan.marauderiic.mad-iic-d	mad-iic-d	85	xl 255	1 b 1 m (20)	1 ams	1 ecm	1 e	1 b 1 m (20)	1 e				170 - 340 xl 255	2 2 2	70 / 20 20 / 30	n/a	clan	498	marauderiic	normal	255	0	170	340
clan.mistlynx.mlx-c	mlx-c	25	xl 175	1 ecm 1 ams				2 e		6			xl 175	2 0 0	120 / 20 30 / 30	2,565 6,409,546	clan	227	mistlynx	normal	175	0	175	175
clan.nightgyr.ntg-h	ntg-h	75	xl 300	1 b	1 e		1 ecm	1 b	1 e	4			xl 300	2 2 0	70 / 20 15 / 30	n/a	clan	779	nightgyr	normal	300	0	300	300
clan.shadowcat.shc-b	shc-b	45	xl 270	1 e 1 m (20)	1 ecm			1 e 1 m (20)		6			xl 270	2 0 2	135 / 20 20 / 40	4,210 10,514,657	clan	298	shadowcat	normal	270	0	270	270
clan.shadowcat.shc-prime(c) champion	shc-prime(c) champion	45	xl 270	1 e	1 ecm		1 e	1 e		6			xl 270	3 0 0	135 / 20 20 / 40	4,815	clan	402	shadowcat	champion	270	0	270	270
clan.sunspider.sns-d	sns-d	70	xl 350	1 b	1 ecm		2 b	1 b					xl 350	0 4 0	80 / 0 20 / 30	n/a	clan	679	sunspider	normal	350	0	350	350
innersphere.archer.tempest hero	tempest hero	70	std 280	2 e	1 ecm 1 m (20)	2 e 1 m (10)	1 ams 1 m (20)	2 e					140 - 340 std 280	6 0 3	100 / 20 25 / 30	5,250	innersphere	395	archer	hero	280	0	140	340
innersphere.assassin.asn-27	asn-27	40	xl 280		1 ecm 1 m (10)	1 ams	1 m (10)	2 e	1 e	7			100 - 365 xl 280	3 0 2	130 / 30 30 / 30	n/a	innersphere	524	assassin	normal	280	0	100	365
innersphere.assassin.darkdeath hero	darkdeath hero	40	xl 280		1 ecm 1 e	1 ams	2 m (10x2)	1 b	1 e	7			100 - 365 xl 280	2 1 2	130 / 30 30 / 30	n/a	innersphere	525	assassin	hero	280	0	100	365
innersphere.atlas.as7-d-dc	as7-d-dc	100	std 300	1 ams 1 e	1 ecm 3 m (10, 6x2)		2 b	1 e					200 - 360 std 300	2 2 3	90 / 40 16 / 30	4,195 10,486,012	innersphere	17	atlas	normal	300	0	200	360
innersphere.cataphract.ctf-0xp	ctf-0xp	70	std 280	2 e	1 ecm 1 ams		1 b	2 e					140 - 340 std 280	4 1 0	90 / 20 20 / 30	2,585 6,458,479	innersphere	311	cataphract	normal	280	0	140	340
innersphere.cicada.cda-3m	cda-3m	40	xl 320		1 ecm 1 b 1 e	2 e	1 ams 1 e						100 - 340 xl 320	4 1 0	125 / 0 30 / 30	2,840 7,097,444	innersphere	36	cicada	normal	320	0	100	340
innersphere.commando.com-2d	com-2d	25	std 150	1 e	1 ecm	1 m (10)	1 ams	2 m (10x2)					100 - 210 std 150	1 0 3	90 / 40 20 / 30	715 1,781,542	innersphere	5	commando	normal	150	0	100	210
innersphere.cyclops.cp-11-p	cp-11-p	90	std 360	2 e	1 ecm 1 ams 1 m (20)	1 m (10)	2 b	2 e					180 - 400 std 360	4 2 2	80 / 20 20 / 30	3,530 8,814,706	innersphere	438	cyclops	normal	360	0	180	400
innersphere.enforcer.ghillie hero	ghillie hero	50	xl 250	2 e	2 e		1 ecm 1 ams	1 b		5			100 - 300 xl 250	4 1 0	125 / 35 20 / 30	n/a	innersphere	552	enforcer	hero	250	0	100	300
innersphere.fafnir.fnr-5	fnr-5	100	std 300	1 e	1 ams 2 b	1 ecm	2 b	1 e	1 e				200 - 325 std 300	3 4 0	100 / 0 20 / 30	n/a	innersphere	684	fafnir	normal	300	0	200	325
innersphere.fafnir.fnr-5b	fnr-5b	100	std 300	2 e	1 ams 1 b	1 ecm	1 b	2 e	1 e				200 - 325 std 300	5 2 0	100 / 0 20 / 30	n/a	innersphere	685	fafnir	normal	300	0	200	325
innersphere.fafnir.wrath hero	wrath hero	100	std 300	1 e 1 m (20)	1 ams 2 e 2 m (20x2)	1 ecm	1 b	1 e 1 m (20)	1 e				200 - 325 std 300	5 1 4	100 / 0 20 / 30	n/a	innersphere	689	fafnir	hero	300	0	200	325
innersphere.flea.fle-20	fle-20	20	std 120	2 e	1 ams 1 e		1 ecm	2 e					100 - 170 std 120	5 0 0	120 / 0 20 / 60	n/a	innersphere	715	flea	normal	120	0	100	170
innersphere.griffin.grf-2n	grf-2n	55	std 275		1 ecm 2 m (20, 10)		1 ams 2 m (20, 10)	2 e		5			110 - 360 std 275	2 0 4	130 / 35 25 / 30	2,250 5,619,335	innersphere	300	griffin	normal	275	0	110	360
innersphere.hatamotochi.htm-28tr	htm-28tr	80	std 240	2 e	1 ecm 1 m (20)		1 m (20)	1 ams 2 e		3			200 - 290 std 240	4 0 2	100 / 30 25 / 30	n/a	innersphere	766	hatamotochi	normal	240	0	200	290
innersphere.hellspawn.hsn-7d	hsn-7d	45	xl 270	2 e	1 m (20)	1 ecm	1 ams 1 e	1 e 1 m (20)		6			100 - 355 xl 270	4 0 2	110 / 30 25 / 30	n/a	innersphere	649	hellspawn	normal	270	0	100	355
innersphere.hellspawn.hsn-8e	hsn-8e	45	xl 270	1 e	2 m (20x2)	1 ecm	1 ams 1 e	1 e 1 m (20)		6			100 - 355 xl 270	3 0 3	110 / 30 25 / 30	n/a	innersphere	650	hellspawn	normal	270	0	100	355
innersphere.hellspawn.paralyzer hero	paralyzer hero	45	xl 270	2 e 1 m (20)	1 e	1 ecm	1 ams 1 e	2 e 1 m (20)		6			100 - 355 xl 270	6 0 2	110 / 30 25 / 30	n/a	innersphere	654	hellspawn	hero	270	0	100	355
innersphere.javelin.jvn-11b	jvn-11b	30	std 180		1 ecm 2 m (10x2)	1 ams	2 m (10x2)						100 - 255 std 180	0 0 4	110 / 35 20 / 25	1,250	innersphere	546	javelin	normal	180	0	100	255
innersphere.locust.pirates&#039; bane hero	pirates&#039; bane hero	20	xl 190		1 ecm 2 e	2 b	1 ams 2 e						100 - 190 xl 190	4 2 0	120 / 0 20 / 60	1,500	innersphere	222	locust	hero	190	0	100	190
innersphere.marauderii.mad-4l	mad-4l	100	std 300	2 b	1 ecm 1 ams		2 e	2 b		3			200 - 360 std 300	2 4 0	70 / 20 20 / 30	n/a	innersphere	794	marauderii	normal	300	0	200	360
innersphere.nightstar.nsr-10p	nsr-10p	95	std 285	2 b	1 ecm 1 ams		1 e	2 b	1 e				190 - 345 std 285	2 4 0	95 / 30 25 / 30	n/a	innersphere	620	nightstar	normal	285	0	190	345
innersphere.phoenixhawk.pxh-1b	pxh-1b	45	xl 270	1 b 1 e	1 ams	1 ecm	1 e	1 b 2 e		6			100 - 355 xl 270	4 2 0	110 / 30 25 / 35	3,160 7,895,553	innersphere	414	phoenixhawk	normal	270	0	100	355
innersphere.phoenixhawk.pxh-2	pxh-2	45	std 270	3 e	1 ams	1 ecm		3 e		6			100 - 355 std 270	6 0 0	110 / 30 25 / 35	1,690 4,224,561	innersphere	416	phoenixhawk	normal	270	0	100	355
innersphere.phoenixhawk.pxh-2(c) champion	pxh-2(c) champion	45	xl 345	3 e	1 ams	1 ecm		3 e		6			100 - 355 xl 345	6 0 0	110 / 30 25 / 35	n/a	innersphere	527	phoenixhawk	champion	345	0	100	355
innersphere.raven.rvn-3l	rvn-3l	35	xl 210	1 m (20)	1 ecm 1 ams		1 e 1 m (10)	2 e					100 - 295 xl 210	3 0 2	120 / 0 20 / 30	2,350 5,862,992	innersphere	33	raven	normal	210	0	100	295
innersphere.raven.rvn-3l(c) champion	rvn-3l(c) champion	35	xl 295	1 m (20)	1 ecm 1 ams		1 e 1 m (10)	2 e					100 - 295 xl 295	3 0 2	120 / 0 20 / 30	2,940	innersphere	228	raven	champion	295	0	100	295
innersphere.spider.sdr-5d	sdr-5d	30	std 240		1 ecm 1 ams	1 e		2 e		8			100 - 255 std 240	3 0 0	110 / 40 20 / 30	1,015 2,533,540	innersphere	52	spider	normal	240	0	100	255
innersphere.stalker.stk-3fb	stk-3fb	85	std 255	2 e 1 m (20)	1 e	1 ecm	1 ams 1 e	2 e 1 m (20)					80 - 310 std 255	6 0 2	85 / 0 20 / 30	n/a	innersphere	515	stalker	normal	255	0	80	310
innersphere.stalker.stk-3fb(l) special	stk-3fb(l) special	85	std 255	2 e 1 m (20)	1 e	1 ecm	1 ams 1 e	2 e 1 m (20)					80 - 310 std 255	6 0 2	85 / 0 20 / 30	n/a	innersphere	465	stalker	special	255	0	80	310
innersphere.thanatos.hangover hero	hangover hero	75	xl 375	2 e	1 ecm 1 e	1 e	1 ams 1 e	5 m (20x3, 10, 5)		5			150 - 400 xl 375	5 0 5	105 / 20 20 / 30	n/a	innersphere	642	thanatos	hero	375	0	150	400
innersphere.thanatos.tns-4p	tns-4p	75	xl 300	2 b	1 ecm 2 e		1 ams 2 e	1 m (20)		5			150 - 360 xl 300	4 2 1	110 / 10 20 / 30	n/a	innersphere	638	thanatos	normal	300	0	150	360
innersphere.thanatos.tns-4s	tns-4s	75	xl 375	2 e	1 ecm 1 e		1 ams 1 e	2 m (20x2)		5			150 - 400 xl 375	4 0 2	105 / 20 20 / 30	n/a	innersphere	637	thanatos	normal	375	0	150	400
innersphere.thanatos.tns-5p	tns-5p	75	std 300	1 b 1 m (20)	1 ecm 1 m (20)		1 ams 1 m (20)	3 e		5			150 - 360 std 300	3 1 3	110 / 20 20 / 30	n/a	innersphere	639	thanatos	normal	300	0	150	360
innersphere.thanatos.tns-5s	tns-5s	75	xl 300	2 e	1 ecm 1 b		1 ams 1 b	2 m (20x2)		5			150 - 360 xl 300	2 2 2	110 / 20 20 / 30	n/a	innersphere	640	thanatos	normal	300	0	150	360
innersphere.thanatos.tns-5t	tns-5t	75	std 300	2 m (20x2)	1 ecm 1 m (20)		1 ams 1 m (20)	2 m (20x2)		5			150 - 360 std 300	0 0 6	110 / 20 20 / 30	n/a	innersphere	641	thanatos	normal	300	0	150	360
innersphere.warhammer.whm-4l	whm-4l	70	xl 280	2 e	1 ams 1 e	1 ecm	1 m (20)	2 e	1 e				140 - 340 xl 280	6 0 1	110 / 25 25 / 25	n/a	innersphere	778	warhammer	normal	280	0	140	340
innersphere.wolfhound.grinner hero	grinner hero	35	std 210		1 ams 1 e	2 e	1 ecm 1 e	1 e					100 - 295 std 210	5 0 0	110 / 40 25 / 25	n/a	innersphere	549	wolfhound	hero	210	0	100	295

